Name,Version,Section,Homepage,Source
gnupg-l10n,2.2.4-1ubuntu1.1,localization,https://www.gnupg.org/,gnupg2
gnupg-utils,2.2.4-1ubuntu1.1,utils,https://www.gnupg.org/,gnupg2
gpg,2.2.4-1ubuntu1.1,utils,https://www.gnupg.org/,gnupg2
gpg-agent,2.2.4-1ubuntu1.1,utils,https://www.gnupg.org/,gnupg2
gpg-wks-client,2.2.4-1ubuntu1.1,utils,https://www.gnupg.org/,gnupg2
gpg-wks-server,2.2.4-1ubuntu1.1,utils,https://www.gnupg.org/,gnupg2
gpgconf,2.2.4-1ubuntu1.1,utils,https://www.gnupg.org/,gnupg2
gpgsm,2.2.4-1ubuntu1.1,utils,https://www.gnupg.org/,gnupg2
gpgv,2.2.4-1ubuntu1.1,utils,https://www.gnupg.org/,gnupg2
grep,3.1-2,utils,http://www.gnu.org/software/grep/,
groff-base,1.22.3-10,text,https://www.gnu.org/software/groff/,groff
grub-common,2.02-2ubuntu8.4,admin,http://www.gnu.org/software/grub/,grub2
grub-efi-amd64,2.02-2ubuntu8.4,admin,http://www.gnu.org/software/grub/,grub2
grub-efi-amd64-bin,2.02-2ubuntu8.4,admin,http://www.gnu.org/software/grub/,grub2
grub-efi-amd64-signed,1.93.5+2.02-2ubuntu8.4,utils,,grub2-signed (1.93.5)
grub-gfxpayload-lists,0.7,admin,,
grub-pc,2.02-2ubuntu8.4,admin,http://www.gnu.org/software/grub/,grub2
grub-pc-bin,2.02-2ubuntu8.4,admin,http://www.gnu.org/software/grub/,grub2
grub2-common,2.02-2ubuntu8.4,admin,http://www.gnu.org/software/grub/,grub2
gzip,1.6-5ubuntu1,utils,,
hdparm,9.54+ds-1,admin,http://sourceforge.net/projects/hdparm/,
hostname,3.20,admin,,
htop,2.1.0-3,utils,https://hisham.hm/htop/,
info,6.5.0.dfsg.1-2,doc,,texinfo
init,1.51,metapackages,,init-system-helpers
init-system-helpers,1.51,admin,,
initramfs-tools,0.130ubuntu3.3,utils,,
initramfs-tools-bin,0.130ubuntu3.3,utils,,initramfs-tools
initramfs-tools-core,0.130ubuntu3.3,utils,,initramfs-tools
install-info,6.5.0.dfsg.1-2,doc,,texinfo
iproute2,4.15.0-2ubuntu1,net,https://wiki.linuxfoundation.org/networking/iproute2,
iptables,1.6.1-2ubuntu2,net,http://www.netfilter.org/,
iputils-ping,3:20161105-1ubuntu2,net,,iputils
iputils-tracepath,3:20161105-1ubuntu2,net,,iputils
irqbalance,1.3.0-0.1,utils,https://github.com/Irqbalance/irqbalance,
isc-dhcp-client,4.3.5-3ubuntu7,net,http://www.isc.org,isc-dhcp
isc-dhcp-common,4.3.5-3ubuntu7,net,http://www.isc.org,isc-dhcp
iso-codes,3.79-1,misc,https://salsa.debian.org/iso-codes-team/iso-codes,
kbd,2.0.4-2ubuntu1,utils,http://www.kbd-project.org/,
keyboard-configuration,1.178ubuntu2.7,utils,,console-setup
klibc-utils,2.0.4-9ubuntu2,libs,https://git.kernel.org/cgit/libs/klibc/klibc.git,klibc
kmod,24-1ubuntu3,admin,,
krb5-locales,1.16-2build1,localization,http://web.mit.edu/kerberos/,krb5
landscape-common,18.01-0ubuntu3.1,admin,,landscape-client
language-selector-common,0.188.1,admin,,language-selector
less,487-0.1,text,http://www.greenwoodsoftware.com/less/,
libaccountsservice0,0.6.45-1ubuntu1,libs,https://www.freedesktop.org/wiki/Software/AccountsService/,accountsservice
libacl1,2.2.52-3build1,libs,http://savannah.nongnu.org/projects/acl/,acl
libapparmor1,2.12-4ubuntu5,libs,http://apparmor.net/,apparmor
libapr1,1.6.3-2,libs,http://apr.apache.org/,apr
libaprutil1,1.6.1-2,libs,http://apr.apache.org/,apr-util
libaprutil1-dbd-sqlite3,1.6.1-2,libs,http://apr.apache.org/,apr-util
libaprutil1-ldap,1.6.1-2,libs,http://apr.apache.org/,apr-util
libapt-inst2.0,1.6.3ubuntu0.1,libs,,apt
libapt-pkg5.0,1.6.3ubuntu0.1,libs,,apt
libargon2-0,0~20161029-1.1,libs,https://github.com/P-H-C/phc-winner-argon2,argon2
libasn1-8-heimdal,7.5.0+dfsg-1,libs,http://www.h5l.org/,heimdal
libassuan0,2.5.1-2,libs,https://www.gnupg.org/related_software/libassuan/index.html,libassuan
libatm1,1:2.5.1-2build1,libs,http://linux-atm.sourceforge.net/,linux-atm
libattr1,1:2.4.47-2build1,libs,http://savannah.nongnu.org/projects/attr/,attr
libaudit-common,1:2.8.2-1ubuntu1,libs,https://people.redhat.com/sgrubb/audit/,audit
libaudit1,1:2.8.2-1ubuntu1,libs,https://people.redhat.com/sgrubb/audit/,audit
libavahi-client3,0.7-3.1ubuntu1.1,libs,http://avahi.org/,avahi
libavahi-common-data,0.7-3.1ubuntu1.1,libs,http://avahi.org/,avahi
libavahi-common3,0.7-3.1ubuntu1.1,libs,http://avahi.org/,avahi
libbind9-160,1:9.11.3+dfsg-1ubuntu1.2,libs,https://www.isc.org/downloads/bind/,bind9
libblkid1,2.31.1-0.4ubuntu3.1,libs,,util-linux
libbsd0,0.8.7-1,libs,https://libbsd.freedesktop.org/,libbsd
libbz2-1.0,1.0.6-8.1,libs,http://www.bzip.org/,bzip2
libc-bin,2.27-3ubuntu1,libs,https://www.gnu.org/software/libc/libc.html,glibc
libc6,2.27-3ubuntu1,libs,https://www.gnu.org/software/libc/libc.html,glibc
libcap-ng0,0.7.7-3.1,libs,http://people.redhat.com/sgrubb/libcap-ng,libcap-ng
libcap2,1:2.25-1.2,libs,http://sites.google.com/site/fullycapable/,
libcap2-bin,1:2.25-1.2,utils,http://sites.google.com/site/fullycapable/,libcap2
libcom-err2,1.44.1-1,libs,http://e2fsprogs.sourceforge.net,e2fsprogs
libcryptsetup12,2:2.0.2-1ubuntu1.1,libs,https://gitlab.com/cryptsetup/cryptsetup,cryptsetup
libcups2,2.2.7-1ubuntu2.1,libs,https://www.cups.org/,cups
libcurl3-gnutls,7.58.0-2ubuntu3.3,libs,http://curl.haxx.se,curl
