NAME,VERSION,RELEASE
libstdc++-devel,4.8.5,28.0.1.el7_5.1
libsysfs,2.1.0,16.el7
libtasn1,4.10,1.el7
libtirpc,0.2.4,0.10.el7
libunistring,0.9.3,9.el7
libuser,0.60,7.el7_1
libutempter,1.1.6,4.el7
libuuid,2.23.2,43.el7
libverto,0.2.5,4.el7
libverto-libevent,0.2.5,4.el7
libX11,1.6.5,1.el7
libX11-common,1.6.5,1.el7
libXau,1.0.8,2.1.el7
libXaw,1.0.13,4.el7
libxcb,1.12,1.el7
libXcursor,1.1.14,8.el7
libXext,1.3.3,3.el7
libXfixes,5.0.3,1.el7
libXft,2.3.2,2.el7
libXi,1.7.9,1.el7
libXinerama,1.1.3,2.1.el7
libxkbfile,1.0.9,3.el7
libxml2,2.9.1,6.0.1.el7_2.3
libxml2-python,2.9.1,6.0.1.el7_2.3
libXmu,1.1.2,2.el7
libXpm,3.5.12,1.el7
libXrandr,1.5.1,2.el7
libXrender,0.9.10,1.el7
libXt,1.1.5,3.el7
libXtst,1.2.3,1.el7
libXv,1.0.11,1.el7
libXxf86dga,1.1.4,2.1.el7
libXxf86misc,1.0.3,7.1.el7
libXxf86vm,1.1.4,1.el7
linux-firmware,20180220,62.git6d51311.0.1.el7
lm_sensors-libs,3.4.0,4.20160601gitf9185e5.el7
logrotate,3.8.6,14.el7
lua,5.1.4,15.el7
lz4,1.7.5,2.el7
lzo,2.06,8.el7
m2crypto,0.21.1,17.el7
mailx,12.5,19.el7
make,3.82,23.el7
man-db,2.6.3,9.el7
mozjs17,17.0.0,20.el7
mpfr,3.1.1,4.el7
ncurses,5.9,13.20130511.el7
ncurses-base,5.9,13.20130511.el7
ncurses-libs,5.9,13.20130511.el7
net-tools,2.0,0.22.20131004git.el7
NetworkManager,1.10.2,13.el7
NetworkManager-libnm,1.10.2,13.el7
newt,0.52.15,4.el7
newt-python,0.52.15,4.el7
nfs-utils,1.3.0,0.54.0.1.el7
nspr,4.17.0,1.el7
nss,3.34.0,4.el7
nss-pem,1.0.3,4.el7
nss-softokn,3.34.0,2.0.1.el7
nss-softokn-freebl,3.34.0,2.0.1.el7
nss-sysinit,3.34.0,4.el7
nss-tools,3.34.0,4.el7
nss-util,3.34.0,2.el7
numactl-libs,2.0.9,6.el7_2
omi,1.4.1,0
openldap,2.4.44,5.el7
openssh,7.4p1,16.el7
openssh-clients,7.4p1,16.el7
openssh-server,7.4p1,16.el7
openssl,1.0.2k,12.0.1.el7
openssl-libs,1.0.2k,12.0.1.el7
oraclelinux-release,7.4,1.0.4.el7
oracle-logos,70.0.3,4.0.7.el7
oracle-rdbms-server-12cR1-preinstall,1.0,6.el7
os-prober,1.58,9.0.1.el7
p11-kit,0.23.5,3.el7
p11-kit-trust,0.23.5,3.el7
pam,1.1.8,18.el7
parted,3.1,29.el7
passwd,0.79,4.el7
pciutils,3.5.1,2.el7
pciutils-libs,3.5.1,2.el7
pcre,8.32,17.el7
pinentry,0.8.1,17.el7
pkgconfig,0.27.1,4.el7
policycoreutils,2.5,22.0.1.el7
policycoreutils-python,2.5,22.0.1.el7
polkit,0.112,14.el7
polkit-pkla-compat,0.1,4.el7
popt,1.13,16.el7
procps-ng,3.3.10,16.el7
psmisc,22.20,15.el7
pth,2.0.7,23.el7
pygobject2,2.28.6,11.el7
pygpgme,0.3,9.el7
pyliblzma,0.5.3,11.el7
pyOpenSSL,0.13.1,3.el7
python,2.7.5,58.0.1.el7
python2-pyasn1,0.1.9,7.el7
python-configobj,4.7.2,7.el7
python-decorator,3.4.0,3.el7
python-dmidecode,3.12.2,1.el7
python-ethtool,0.8,5.el7
python-firewall,0.4.4.4,6.el7
python-gobject-base,3.22.0,1.el7
python-gudev,147.2,7.el7
python-hwdata,1.7.3,4.el7
python-iniparse,0.4,9.el7
python-IPy,0.75,6.el7
python-libs,2.7.5,58.0.1.el7
python-linux-procfs,0.4.9,3.el7
python-perf,3.10.0,862.0.0.0.1.el7
python-pycurl,7.19.0,19.el7
python-pyudev,0.15,9.el7
python-schedutils,0.4,6.el7
python-slip,0.4.0,2.el7
python-slip-dbus,0.4.0,2.el7
python-urlgrabber,3.10,8.el7
pyxattr,0.5.1,5.el7
qemu-guest-agent,2.8.0,2.el7
qrencode-libs,3.4.1,3.el7
quota,4.01,17.el7
quota-nls,4.01,17.el7
readline,6.2,10.el7
redhat-release-server,7.4,18.0.1.el7
rhn-check,2.0.2,17.0.1.el7
rhn-client-tools,2.0.2,17.0.1.el7
rhnlib,2.5.65,4.0.1.el7
rhnsd,5.0.13,7.0.1.el7
rhn-setup,2.0.2,17.0.1.el7
rootfiles,8.1,11.el7
rpcbind,0.2.0,44.el7
rpm,4.11.3,25.el7
rpm-build-libs,4.11.3,25.el7
rpm-libs,4.11.3,25.el7
rpm-python,4.11.3,25.el7
rsyslog,8.24.0,12.el7
scx,1.6.3,474
sed,4.2.2,5.el7
selinux-policy,3.13.1,166.0.2.el7
selinux-policy-targeted,3.13.1,166.0.2.el7
setools-libs,3.3.8,2.el7
setup,2.8.71,7.el7
shadow-utils,4.1.5.1,24.el7
shared-mime-info,1.8,3.el7
slang,2.2.4,11.el7
smartmontools,6.5,1.el7
sqlite,3.7.17,8.el7
stix-fonts,1.1.0,5.el7
sudo,1.8.19p2,10.el7
sysstat,10.1.5,13.el7
systemd,219,57.0.1.el7
systemd-libs,219,57.0.1.el7
