NAME,VERSION,RELEASE
libestr,0.1.9,2.el7
libfastjson,0.99.4,2.el7
libffi,3.0.13,18.el7
libgcc,4.8.5,16.el7
libgcc,4.8.5,16.el7
libgcrypt,1.5.3,14.el7
libgcrypt,1.5.3,14.el7
libgomp,4.8.5,16.el7
libgpg-error,1.12,3.el7
libgpg-error,1.12,3.el7
libgudev1,219,42.el7_4.1
libidn,1.28,4.el7
libmnl,1.0.3,7.el7
libmodman,2.0.1,8.el7
libmount,2.23.2,43.el7
libndp,1.2,7.el7
libnetfilter_conntrack,1.0.6,1.el7_3
libnfnetlink,1.0.1,4.el7
libnl3,3.2.28,4.el7
libnl3-cli,3.2.28,4.el7
libpcap,1.5.3,9.el7
libpciaccess,0.13.4,3.el7_3
libpipeline,1.2.3,3.el7
libproxy,0.4.11,10.el7
libpwquality,1.2.3,4.el7
libseccomp,2.3.1,3.el7
libselinux,2.5,11.el7
libselinux,2.5,11.el7
libselinux-python,2.5,11.el7
libselinux-utils,2.5,11.el7
libsemanage,2.5,8.el7
libsepol,2.5,6.el7
libsepol,2.5,6.el7
libsoup,2.56.0,4.el7_4
libss,1.42.9,10.el7
libssh2,1.4.3,10.el7_2.1
libstdc++,4.8.5,16.el7
libstdc++,4.8.5,16.el7
libsysfs,2.1.0,16.el7
libtasn1,4.10,1.el7
libteam,1.25,5.el7
libunistring,0.9.3,9.el7
libuser,0.60,7.el7_1
libutempter,1.1.6,4.el7
libuuid,2.23.2,43.el7
libverto,0.2.5,4.el7
libxml2,2.9.1,6.el7_2.3
libxml2-python,2.9.1,6.el7_2.3
linux-firmware,20170606,56.gitc990aae.el7
logrotate,3.8.6,14.el7
lsscsi,0.27,6.el7
lua,5.1.4,15.el7
lzo,2.06,8.el7
mailcap,2.1.41,2.el7
make,3.82,23.el7
man-db,2.6.3,9.el7
mariadb-libs,5.5.56,2.el7
microcode_ctl,2.1,22.el7
microsoft-hyper-v,4.2.3,20170925
microsoft-hyper-v-debuginfo,4.2.3,20170925
mozjs17,17.0.0,19.el7
nano,2.3.1,10.el7
ncurses,5.9,14.20130511.el7_4
ncurses-base,5.9,14.20130511.el7_4
ncurses-libs,5.9,14.20130511.el7_4
net-tools,2.0,0.22.20131004git.el7
nettle,2.7.1,8.el7
newt,0.52.15,4.el7
newt-python,0.52.15,4.el7
nspr,4.13.1,1.0.el7_3
nss,3.28.4,12.el7_4
nss-pem,1.0.3,4.el7
nss-softokn,3.28.3,8.el7_4
nss-softokn-freebl,3.28.3,8.el7_4
nss-softokn-freebl,3.28.3,8.el7_4
nss-sysinit,3.28.4,12.el7_4
nss-tools,3.28.4,12.el7_4
nss-util,3.28.4,3.el7
numactl-libs,2.0.9,6.el7_2
openldap,2.4.44,5.el7
openssh,7.4p1,12.el7_4
openssh-clients,7.4p1,12.el7_4
openssh-server,7.4p1,12.el7_4
openssl,1.0.2k,8.el7
openssl-libs,1.0.2k,8.el7
os-prober,1.58,9.el7
p11-kit,0.23.5,3.el7
p11-kit-trust,0.23.5,3.el7
pam,1.1.8,18.el7
pam,1.1.8,18.el7
parted,3.1,28.el7
passwd,0.79,4.el7
pciutils,3.5.1,2.el7
pciutils-libs,3.5.1,2.el7
pcre,8.32,17.el7
